,序号,标题,链接,导演,评分,评价人数,简介,年份,地区,类型
216,217,雨人,https://movie.douban.com/subject/1291870/,巴瑞·莱文森 Barry Levinson,8.7,426883人评价,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,1988,美国,剧情
217,218,终结者2：审判日,https://movie.douban.com/subject/1291844/,詹姆斯·卡梅隆 James Cameron,8.8,364122人评价,少见的超越首部的续集，动作片中的经典。,1991,美国 法国,动作 科幻
218,219,人工智能,https://movie.douban.com/subject/1302827/,史蒂文·斯皮尔伯格 Steven Spielberg,8.7,477486人评价,对爱的执着，可以超越一切。,2001,美国 英国,剧情 科幻
219,220,无耻混蛋,https://movie.douban.com/subject/1438652/,昆汀·塔伦蒂诺 Quentin Tarantino,8.7,519926人评价,昆汀同学越来越变态了，比北野武还杜琪峰。,2009,德国 美国,剧情 犯罪
220,221,虎口脱险,https://movie.douban.com/subject/1296909/,杰拉尔·乌里 Gérard Oury,8.9,278324人评价,永远看不腻的喜剧。,1966,法国 英国,喜剧 战争
221,222,哈利·波特与死亡圣器(上),https://movie.douban.com/subject/2051007/,大卫·叶茨 David Yates,8.6,645178人评价,最忠于原著的一部。,2010,英国 美国,奇幻 冒险
222,223,新龙门客栈,https://movie.douban.com/subject/1292287/,李惠民 Raymond Lee,8.7,477699人评价,嬉笑怒骂，调风动月。,1992,中国香港 中国大陆,动作 爱情 武侠 古装
223,224,白日梦想家,https://movie.douban.com/subject/2133323/,本·斯蒂勒 Ben Stiller,8.6,576666人评价,,2013,美国 英国,剧情 喜剧 冒险
224,225,恋恋笔记本,https://movie.douban.com/subject/1309163/,尼克·卡索维茨 Nick Cassavetes,8.5,716567人评价,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。,2004,美国,剧情 爱情
225,226,崖上的波妞,https://movie.douban.com/subject/1959877/,宫崎骏 Hayao Miyazaki,8.6,540785人评价,,2008,日本,动画 奇幻 冒险
226,227,罗生门,https://movie.douban.com/subject/1291879/,黑泽明 Akira Kurosawa,8.8,338829人评价,人生的N种可能性。,1950,日本,剧情 犯罪 悬疑
227,228,千钧一发,https://movie.douban.com/subject/1300117/,安德鲁·尼科尔 Andrew Niccol,8.8,326780人评价,一部能引人思考的科幻励志片。,1997,美国,剧情 科幻 惊悚
228,229,彗星来的那一夜,https://movie.douban.com/subject/25807345/,詹姆斯·沃德·布柯特 James Ward Byrkit,8.6,639381人评价,小成本大魅力。,2013,美国 英国,科幻 悬疑 惊悚
229,230,机器人之梦,https://movie.douban.com/subject/35426925/,巴勃罗·贝格尔 Pablo Berger,9.0,243795人评价,,2023,西班牙 法国,剧情 动画 音乐
230,231,大红灯笼高高挂,https://movie.douban.com/subject/1293323/,张艺谋 Yimou Zhang,8.8,329118人评价,,1991,中国大陆 中国香港 中国台湾,剧情
231,232,哈利·波特与凤凰社,https://movie.douban.com/subject/1457217/,大卫·叶茨 David Yates,8.5,644207人评价,,2007,英国 美国,奇幻 冒险
232,233,黑客帝国2：重装上阵,https://movie.douban.com/subject/1304141/,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,8.7,432808人评价,一个精彩的世界观正在缓缓建立。,2003,美国,动作 科幻
233,234,萤火虫之墓,https://movie.douban.com/subject/1293318/,高畑勋 Isao Takahata,8.7,424188人评价,幸福是生生不息，却难以触及的远。,1988,日本,动画 剧情 战争
234,235,火星救援,https://movie.douban.com/subject/25864085/,雷德利·斯科特 Ridley Scott,8.5,788021人评价,,2015,英国 美国 匈牙利 约旦,剧情 科幻 冒险
235,236,奇迹男孩,https://movie.douban.com/subject/26787574/,斯蒂芬·卓博斯基 Stephen Chbosky,8.6,579017人评价,世界不完美，爱会有奇迹。,2017,美国 中国香港,剧情 儿童 家庭
236,237,二十二,https://movie.douban.com/subject/26430107/,郭柯 Ke Guo,8.7,304793人评价,有一些东西不应该被遗忘。,2015,中国大陆,纪录片
237,238,战争之王,https://movie.douban.com/subject/1419936/,安德鲁·尼科尔 Andrew Niccol,8.7,395217人评价,做一颗让别人需要你的棋子。,2005,美国 德国,剧情 犯罪
